GAME_DATE,GAME_ID,MATCHUP,HOME_TEAM,AWAY_TEAM,HOME_PREV_SEAS_WIN_PERC,HOME_PREV_SEAS_AVG_PTS_PER_GAME,HOME_PREV_SEAS_FG_PERC,HOME_PREV_SEAS_THREE_PERC,HOME_PREV_SEAS_FREE_THROW_PERC,HOME_PREV_SEAS_PLUS_MINUS,AWAY_PREV_SEAS_WIN_PERC,AWAY_PREV_SEAS_AVG_PTS_PER_GAME,AWAY_PREV_SEAS_FG_PERC,AWAY_PREV_SEAS_THREE_PERC,AWAY_PREV_SEAS_FREE_THROW_PERC,AWAY_PREV_SEAS_PLUS_MINUS,HOME_WIN
10/29/2013,21300001,ORL @ IND,IND,ORL,0.605,94.7,43.6,34.7,74.6,4,0.244,94.1,44.8,32.9,75.5,-7,1
10/29/2013,21300003,LAC @ LAL,LAL,LAC,0.549,102.2,45.8,35.5,69.2,1.2,0.683,101.1,47.8,35.8,71.1,6.5,1
10/29/2013,21300002,CHI @ MIA,MIA,CHI,0.805,102.9,49.6,39.6,75.4,7.9,0.549,93.2,43.7,35.3,77.3,0.3,1
10/30/2013,21300015,POR @ PHX,PHX,POR,0.305,95.2,44.3,33,74.4,-6.5,0.402,97.5,44.8,35.3,77.6,-3.2,1
10/30/2013,21300016,DEN @ SAC,SAC,DEN,0.341,100.2,44.7,36.3,76.9,-4.9,0.695,106.1,47.8,34.3,70.1,5.1,1
10/30/2013,21300004,BKN @ CLE,CLE,BKN,0.293,96.5,43.4,34.6,75.6,-4.7,0.598,96.9,45,35.7,73.1,1.8,1
10/30/2013,21300006,BOS @ TOR,TOR,BOS,0.415,97.2,44.6,34.3,78.8,-1.5,0.506,96.5,46.5,35.8,77.6,-0.2,1
10/30/2013,21300009,CHA @ HOU,HOU,CHA,0.549,106,46.1,36.6,75.4,3.5,0.256,93.4,42.5,33.5,75,-9.2,1
10/30/2013,21300017,LAL @ GSW,GSW,LAL,0.573,101.2,45.8,40.3,79,0.9,0.549,102.2,45.8,35.5,69.2,1.2,1
10/30/2013,21300012,ATL @ DAL,DAL,ATL,0.5,101.1,46.2,37.2,79.3,-0.6,0.537,98,46.4,37.1,71.5,0.4,1
