AWAY_RA_AST,AWAY_RA_BLK,AWAY_RA_DREB,AWAY_RA_FG3A,AWAY_RA_FG3M,AWAY_RA_FG3_PCT,AWAY_RA_FGA,AWAY_RA_FGM,AWAY_RA_FG_PCT,AWAY_RA_FTA,AWAY_RA_FTM,AWAY_RA_FT_PCT,AWAY_RA_OREB,AWAY_RA_PF,AWAY_RA_PLUS_MINUS,AWAY_RA_PTS,AWAY_RA_REB,AWAY_RA_STL,AWAY_RA_TOV,AWAY_TEAM,GAME_DATE,GAME_ID,HOME_RA_AST,HOME_RA_BLK,HOME_RA_DREB,HOME_RA_FG3A,HOME_RA_FG3M,HOME_RA_FG3_PCT,HOME_RA_FGA,HOME_RA_FGM,HOME_RA_FG_PCT,HOME_RA_FTA,HOME_RA_FTM,HOME_RA_FT_PCT,HOME_RA_OREB,HOME_RA_PF,HOME_RA_PLUS_MINUS,HOME_RA_PTS,HOME_RA_REB,HOME_RA_STL,HOME_RA_TOV,HOME_TEAM,HOME_WIN,MATCHUP
16.6,3.2,31,20.2,6.6,0.333,79.6,33.8,0.4242,23.2,18,0.7736,13.4,23.4,-3.6,92.2,44.4,4.8,14.2,TOR,11/8/2013,21300074,22,8,35.4,22.2,8.4,0.3792,76.8,34.4,0.4494,22,17,0.7724,9.2,19.6,10.4,94.2,44.6,6.2,16.6,IND,1,TOR @ IND
23,6.2,35.4,20.4,7.8,0.3922,78.8,35.8,0.4562,20,15,0.7558,10.2,19.6,10.4,94.4,45.6,7,16,IND,11/9/2013,21300087,22,4.2,32.6,17.4,6,0.354,79.8,36.6,0.4614,26.2,18.8,0.7506,9.4,25.4,-2.6,98,42,8.2,16.2,BKN,0,IND @ BKN
20.8,3.6,28.8,13.4,4.2,0.3346,77.2,36,0.467,21.2,16.8,0.793,9.6,23.2,-3.6,93,38.4,6.2,15.8,MEM,11/11/2013,21300099,23.2,6.8,34.4,18.6,7,0.384,78.6,36.8,0.4704,19.6,15,0.7724,10,20.8,10.6,95.6,44.4,6.8,14.6,IND,1,MEM @ IND
18,4.8,28.8,21,9.6,0.459,78.8,32.6,0.4176,19.2,16.2,0.8264,10.4,19.4,-11.2,91,39.2,6.4,17,IND,11/15/2013,21300125,20.8,7.2,33.2,17.6,6.2,0.3608,79.8,37.2,0.4674,19.2,16,0.8316,11,20.6,14.4,96.6,44.2,6.6,13.6,MIL,0,IND vs. MIL
19.8,7.4,31.2,17.2,5.6,0.333,79.6,36.8,0.4636,20.6,16.8,0.8174,10,19.6,7.8,96,41.2,5.8,12.6,IND,11/16/2013,21300140,22.2,5.8,32.6,14.8,6,0.395,77.4,34.8,0.45,24.2,20.2,0.8364,11.2,22,10.8,95.8,43.8,7.4,15.2,CHI,1,IND @ CHI
19,7.8,33.2,19,6.2,0.3358,81.4,36.2,0.447,24.6,19.8,0.8104,10.2,19.6,7.8,98.4,43.4,6.2,12.4,IND,11/20/2013,21300163,18.8,3.8,29,27.6,8.8,0.3206,88.2,35.8,0.4078,18.2,14.2,0.7718,12.6,24.2,-6.4,94.6,41.6,8.2,10.8,NYK,0,IND @ NYK
18,7.8,32.2,19.6,6,0.3064,81.6,36.4,0.4482,24.2,19.8,0.827,11,18.6,9.8,98.6,43.2,7,12.8,IND,11/22/2013,21300179,15.2,3.8,30,16.4,5.6,0.3478,84.2,35.4,0.427,15.6,12.4,0.8034,10.4,19.4,-16.2,88.8,40.4,7.2,17.2,BOS,0,IND @ BOS
21,4,35,21,6,0.2924,87.8,37.4,0.4332,29,19.8,0.6736,14,23.8,-10,100.6,49,9.6,17.8,PHI,11/23/2013,21300188,17,8.2,33.4,19.4,5.8,0.2988,81.6,36,0.443,28.2,23,0.8236,10.8,18.4,8.2,100.8,44.2,7,14,IND,1,PHI @ IND
21.2,3.6,30.6,26.2,7.4,0.2712,92,36,0.391,24.6,19.4,0.7858,14.2,16.8,-0.6,98.8,44.8,9.6,12.8,IND,11/25/2013,21300203,18,7,34,19.2,6.4,0.3428,81.8,36,0.4418,27.4,21.2,0.7602,10.4,19.2,5.6,99.6,44.4,8.6,15.4,MIN,0,IND vs. MIN
18.8,6.2,38,21,7.6,0.3728,81.6,35.6,0.438,28.2,21.8,0.7592,10.4,20,13.8,100.6,48.4,9.2,16.6,IND,11/27/2013,21300215,16.4,4.2,30.4,11.8,3.8,0.3244,78.4,33,0.4226,27.6,18.6,0.6824,12.4,20.6,-2.8,88.4,42.8,6,15.2,CHA,0,IND @ CHA
21.6,4.4,31.2,20.2,7,0.345,79.2,37,0.4664,18.4,14,0.7558,8.2,15,-1.2,95,39.4,8.8,14.4,WAS,11/29/2013,21300236,21,4.8,37.2,19.4,7.6,0.3946,81.2,36.6,0.4516,23,17.8,0.7636,11.2,19.2,16.4,98.6,48.4,10.2,17,IND,1,WAS @ IND
22.2,5,38.6,21.2,8,0.3856,82.8,36.8,0.4454,24.6,18.6,0.7432,11.6,21.6,14.4,100.2,50.2,8.6,17.2,IND,12/1/2013,21300249,22,4.6,33.8,21.2,7,0.3256,77.8,37.2,0.4774,32.6,22.8,0.7276,8.6,21,10.8,104.2,42.4,6.6,12.4,LAC,0,IND @ LAC
23.2,3.2,36.8,22,8.8,0.4118,85.2,37.6,0.4418,20.4,15.4,0.7564,11.8,23,12,99.4,48.6,9.4,16.4,IND,12/2/2013,21300260,22.4,4.2,33,20.2,8,0.396,83.8,37.4,0.4468,29.6,25.4,0.86,11.8,19.2,3.8,108.2,44.8,4.8,12.2,POR,1,IND @ POR
24.2,3,36,22.2,7.8,0.3428,86,37.6,0.437,20,15.8,0.7988,11.8,21.6,11,98.8,47.8,8.2,14,IND,12/4/2013,21300274,21,2,29.2,16.6,7,0.4228,80.6,37.6,0.468,20.4,17.2,0.8412,11.2,20.8,0,99.4,40.4,5.4,12.6,UTA,0,IND @ UTA
24.6,2.8,33.6,21,7.6,0.3576,83.4,38.8,0.4678,19.2,16,0.8284,11,20.2,8.2,101.2,44.6,8.2,13.8,IND,12/7/2013,21300296,24.2,5,32.2,22.8,8.6,0.3818,85.6,41,0.4834,13.4,10.4,0.7748,8.4,15.6,-0.6,101,40.6,8.2,14.8,SAS,0,IND @ SAS
21.8,3.4,30.6,20.8,7.2,0.3424,83.4,38,0.4584,21.4,18.2,0.8494,10,20.8,-0.6,101.4,40.6,7.6,13.2,IND,12/8/2013,21300302,21,8.2,34.4,16.8,6.6,0.3994,82.6,42,0.5102,20.6,17.6,0.8384,9.6,22.2,8.6,108.2,44,7,15,OKC,1,IND @ OKC
20.8,5,27,23.4,6.8,0.2798,77.2,36.8,0.4782,21.4,15.8,0.7386,7.4,22,0,96.2,34.4,10.6,15.4,IND,12/10/2013,21300311,21.2,3,30.8,18.6,6.6,0.3474,79,37,0.4722,21.2,17.8,0.8392,8.4,20,-0.4,98.4,39.2,8,14.2,MIA,0,IND vs. MIA
20.8,5.2,35.4,15.8,4.2,0.2868,86,37,0.4286,22.8,17.6,0.7766,9.2,16.4,0,95.8,44.6,6.2,9.4,IND,12/13/2013,21300329,20,4.6,31.8,18.4,6.4,0.3418,76.6,36.4,0.4784,22.8,18.6,0.8148,7.8,18.6,1.4,97.8,39.6,7.4,13.6,CHA,0,IND vs. CHA
19,5.4,32,18.8,5.2,0.2748,88.8,40.4,0.4556,25.8,16.6,0.63,14.6,21.2,-5,102.6,46.6,4.8,13.6,DET,12/16/2013,21300356,18.8,4.6,31.2,18.6,7,0.3748,76,35.4,0.4696,25.2,20.2,0.803,8.2,19.2,-1.4,98,39.4,7,13.4,IND,0,DET @ IND
17,4.4,30.6,17.6,6.2,0.3514,76.4,34.2,0.4502,25.2,20,0.7958,7.8,20.2,-4.2,94.6,38.4,7.2,13.4,IND,12/18/2013,21300369,23.8,5.2,30.8,21.2,6.8,0.3204,74.6,39.4,0.5306,23.8,18.8,0.7928,6.2,18.8,8.4,104.4,37,10.4,13.8,MIA,1,IND @ MIA
